Name;Type;Stereotype;Status;Notes;TagValue_Toelichting;TagValue_Type Vormgeving;TagValue_Type Zingeving;TagValue_Perspectief;TagValue_Niveau;TagValue_Enterprise
Wij kiezen voor mensen die hun eerste stappen zetten op de woningmarkt;Class;Uitspraak;Proposed;Wij kiezen voor mensen die hun eerste stappen zetten op de woningmarkt;;;Doel;;Zingeving;
De vastgoedportefeuille hoeft niet te groeien, maar moet wel waardevast blijven.;Class;Uitspraak;Proposed;De vastgoedportefeuille hoeft niet te groeien, maar moet wel waardevast blijven.;;;Doel;;Zingeving;
Voldoende betekent voor ons: jaarlijks een rendement op inflatieniveau plus een risico-opslag. In de meerjarenbegroting is dit totaal benodigde rendement berekend op 3 procent voor de geborgde activiteiten (DAEB).;Class;Uitspraak;Proposed;Voldoende betekent voor ons: jaarlijks een rendement op inflatieniveau plus een risico-opslag. In de meerjarenbegroting is dit totaal benodigde rendement berekend op 3 procent voor de geborgde activiteiten (DAEB).;;;Doel;;Zingeving;
We streven naar een dynamisch evenwicht van de zelfstandige sociale huurvoorraad: het aantal nieuwbouwwoningen is minimaal gelijk aan het aantal verkopen en liberalisaties.;Class;Uitspraak;Proposed;We streven naar een dynamisch evenwicht van de zelfstandige sociale huurvoorraad: het aantal nieuwbouwwoningen is minimaal gelijk aan het aantal verkopen en liberalisaties.;;;Doel;;Zingeving;
BOG is niet onze kerntaak. Waar mogelijk stoten we dit vastgoed af. We voegen in principe geen nieuwe BOG toe door nieuwbouw;Class;Uitspraak;Proposed;BOG is niet onze kerntaak. Waar mogelijk stoten we dit vastgoed af. We voegen in principe geen nieuwe BOG toe door nieuwbouw;;;Doel;;Zingeving;
"Parkeren zien we niet als onze kerntaak. We streven naar een afname van het aantal parkeerplaatsen. Voor de meeste woonstarters is dit geen probleem: zij zijn niet in het bezit van een
auto. Nieuwbouw realiseren we zoveel mogelijk zonder parkeerplekken.";Class;Uitspraak;Proposed;"Parkeren zien we niet als onze kerntaak. We streven naar een afname van het aantal parkeerplaatsen. Voor de meeste woonstarters is dit geen probleem: zij zijn niet in het bezit van een
auto. Nieuwbouw realiseren we zoveel mogelijk zonder parkeerplekken.";;;Doel;;Zingeving;
De Key is actief bezig met het terugbrengen van het aantal entiteiten in haar verbindingenstructuur;Class;Uitspraak;Proposed;De Key is actief bezig met het terugbrengen van het aantal entiteiten in haar verbindingenstructuur;;;Doel;;Zingeving;
Gelijkheid: Alle huurders van De Key hebben recht op dezelfde kwaliteit van dienstverlening;Class;Uitspraak;Proposed;Gelijkheid: Alle huurders van De Key hebben recht op dezelfde kwaliteit van dienstverlening;;;Doel;;Zingeving;
Vertrouwen is de basis voor de manier waarop wij werken en de manier waarop wij met onze klanten omgaan.;Class;Uitspraak;Proposed;Vertrouwen is de basis voor de manier waarop wij werken en de manier waarop wij met onze klanten omgaan.;;;Kernwaarde;;Zingeving;
Eigenaarschap: Bij De Key werken we gezamenlijk aan de woonconcepten voor onze doelgroep: toetreders op de woningmarkt. Iedereen heeft daarbij zijn eigen rol, die wordt ingevuld op basis van vakmanschap. Er is ruimte om verantwoordelijkheid te nemen, en er wordt verwacht dat je die ruimte ook gebruikt. Eigen initiatief wordt op prijs gesteld. ;Class;Uitspraak;Proposed;Eigenaarschap: Bij De Key werken we gezamenlijk aan de woonconcepten voor onze doelgroep: toetreders op de woningmarkt. Iedereen heeft daarbij zijn eigen rol, die wordt ingevuld op basis van vakmanschap. Er is ruimte om verantwoordelijkheid te nemen, en er wordt verwacht dat je die ruimte ook gebruikt. Eigen initiatief wordt op prijs gesteld. ;;;Kernwaarde;;Zingeving;
Daadkracht: Op basis van hun professionaliteit kunnen medewerkers van De Key snel knopen doorhakken en dingen voor elkaar krijgen. Zelfstandig als het kan, samen met anderen als het een bredere inzet vergt. Collega’s met rechtstreekse klantcontacten krijgen meer ruimte om snel in te spelen op vragen van bewoners. Overbodige regeltjes of vastgeroeste tradities vormen daarvoor geen belemmering.;Class;Uitspraak;Proposed;Daadkracht: Op basis van hun professionaliteit kunnen medewerkers van De Key snel knopen doorhakken en dingen voor elkaar krijgen. Zelfstandig als het kan, samen met anderen als het een bredere inzet vergt. Collega’s met rechtstreekse klantcontacten krijgen meer ruimte om snel in te spelen op vragen van bewoners. Overbodige regeltjes of vastgeroeste tradities vormen daarvoor geen belemmering.;;;Kernwaarde;;Zingeving;
