Name;Type;Stereotype;Status;Notes;TagValue_Niveau;TagValue_Type Vormgeving;TagValue_Type Zingeving;TagValue_Perspectief;TagValue_Niveau;TagValue_Enterprise
De Key biedt bestaande en nieuwe klanten een woning die veilig, heel en schoon is.;Class;Uitspraak;Proposed;De Key biedt bestaande en nieuwe klanten een woning die veilig, heel en schoon is.;Vormgeving;Principe;;Klant;Vormgeving;De Key Amsterdam
En we brengen de dienstverlening steeds dichterbij.;Class;Uitspraak;Proposed;En we brengen de dienstverlening steeds dichterbij. Online kunnen bewoners veel zelf regelen op momenten dat het hen uitkomt. En persoonlijk met beheerders en vakmannen in buurten waar we veel bezit hebben.;Vormgeving;Beleidsuitspraak;;Klant;Vormgeving;De Key Amsterdam
Efficiency heeft permanent onze aandacht.;Class;Uitspraak;Proposed;Efficiency heeft permanent onze aandacht.;Vormgeving;Principe;;Fin.;Vormgeving;De Key Amsterdam
Verkoop van vastgoed is een manier om financiële ruimte voor beweging te creëren.;Class;Uitspraak;Proposed;Verkoop van vastgoed is een manier om financiële ruimte voor beweging te creëren.;Vormgeving;Beleidsuitspraak;;Fin.;Vormgeving;De Key Amsterdam
De opbrengst van de verkoop heeft een bestemming.;Class;Uitspraak;Proposed;De opbrengst van de verkoop is bestemd voor aflossing van leningen en voor investeringen in woonconcepten voor toetreders op de woningmarkt binnen de ring A10 of net daarbuiten.;Vormgeving;Beleidsuitspraak;;Fin.;Vormgeving;De Key Amsterdam
Verlengen of vervangen van ten minste 2.500 tijdelijke studentenwoningen.;Class;Uitspraak;Proposed;Verlengen of vervangen van ten minste 2.500 tijdelijke studentenwoningen, als compensatie voor de tijdelijke studentenwoningen die binnenkort worden gesloopt.;Vormgeving;Doelstelling;;Vastg.;Vormgeving;De Key Amsterdam
Vergroten van het aanbod van kleine woningen.;Class;Uitspraak;Proposed;Vergroten van het aanbod van kleine woningen voor toetreders op de woningmarkt door labelen van bestaand bezit en door nieuwbouw.;Vormgeving;Beleidsuitspraak;;Vastg.;Vormgeving;De Key Amsterdam
We leveren dus geen diensten meer aan derden.;Class;Uitspraak;Proposed;We leveren dus geen diensten meer aan derden, zoals VvE’s.;Vormgeving;Beleidsuitspraak;;Dienst.;Vormgeving;De Key Amsterdam
Toeleveranciers en coproducenten nemen ons een steeds groter deel van het werk uit handen.;Class;Uitspraak;Proposed;Toeleveranciers en coproducenten nemen ons een steeds groter deel van het werk uit handen.;Vormgeving;Beleidsuitspraak;;Lev.;Vormgeving;De Key Amsterdam
We zoeken  naar de juiste balans tussen dingen zelf doen of uitbesteden.;Class;Uitspraak;Proposed;We zoeken  naar de juiste balans tussen dingen zelf doen of uitbesteden.;Vormgeving;Principe;;Org.best.;Vormgeving;De Key Amsterdam
Hierbij (toeleveranciers en coproducenten) kiezen we voor samenwerking met partners.;Class;Uitspraak;Proposed;Hierbij (toeleveranciers en coproducenten) kiezen we voor samenwerking met partners die vanuit hun maatschappelijke verantwoordelijkheid een bijdrage leveren aan de dynamiek en de duurzaamheid in de stad.;Vormgeving;Beleidsuitspraak;;Lev.;Vormgeving;De Key Amsterdam
Ook de trend dat de klant een grotere rol speelt in onze primaire processen.;Class;Uitspraak;Proposed;Ook de trend dat de klant een grotere rol speelt in onze primaire processen, bijvoorbeeld via de website, heeft gevolgen voor de organisatie.;Vormgeving;Beleidsuitspraak;;Org.best.;Vormgeving;De Key Amsterdam
Het fundament voor onze manier van werken ligt in een basishouding. ;Class;Uitspraak;Proposed;Het fundament voor onze manier van werken ligt in een basishouding waarbij maatschappelijke dienstbaarheid, klantgerichtheid (zowel voor interne als externe klanten), zelfstandigheid en vrijheid van handelen vanzelfsprekend zijn. ;Vormgeving;Beleidsuitspraak;;Medew.;Vormgeving;De Key Amsterdam
Bij De Key werken mensen die met passie en commitment hun rol pakken.;Class;Uitspraak;Proposed;Bij De Key werken mensen die met passie en commitment hun rol pakken.;Vormgeving;Principe;;Medew.;Vormgeving;De Key Amsterdam
Zij (medewerkers) zijn een kei in hun vak.;Class;Uitspraak;Proposed;Zij (medewerkers) zijn een kei in hun vak en vanuit die professionaliteit zoeken zij verbinding naar het overkoepelende doel.;Vormgeving;Beleidsuitspraak;;Medew.;Vormgeving;De Key Amsterdam
Dit (basishouding medewerkers) stelt ook eisen aan het management.;Class;Uitspraak;Proposed;Dit (basishouding medewerkers) stelt ook eisen aan het management: zij zorgen ervoor dat de gemeenschappelijke waarden continu scherp op het netvlies blijven en dat iedereen deze binnen zijn of haar eigen functie blijft toepassen.;Vormgeving;Beleidsuitspraak;;Org.best.;Vormgeving;De Key Amsterdam
Leden van bestuur en RvT hanteren waarden en normen die passen bij de maatschappelijke opdracht.;Class;Uitspraak;Proposed;Leden van bestuur en RvT hanteren waarden en normen die passen bij de maatschappelijke opdracht.;Vormgeving;Principe;;Org.best.;Vormgeving;De Key Amsterdam
Voor bestuur en RvT staat het behalen van maatschappelijke resultaten voorop.;Class;Uitspraak;Proposed;Voor bestuur en RvT staat het behalen van maatschappelijke resultaten voorop.;Vormgeving;Principe;;Org.best.;Vormgeving;De Key Amsterdam
De corporatie is een organisaties met een integere en open cultuur.;Class;Uitspraak;Proposed;De corporatie is een organisaties met een integere en open cultuur waarbinnen ruimte is voor reflectie en tegenspraak. Bestuur en RvT hebben daarbij een voorbeeldfunctie voor zowel hun eigen corporatie als voor de gehele sector;Vormgeving;Principe;;Org.best.;Vormgeving;De Key Amsterdam
De prestaties komen in samenspraak met primair tot stand.;Class;Uitspraak;Proposed;De prestaties komen in samenspraak met primair (vertegenwoordigers van) haar doelgroep, en secundair de gemeenten tot stand. Daarbij heeft De Key tevens oog voor andere belanghebbende partijen.;Vormgeving;Beleidsuitspraak;;Stakeh.;Vormgeving;De Key Amsterdam
In het directiereglement is vastgesteld dat besluitvorming plaatsvindt in het Directieteam (DT).;Class;Uitspraak;Proposed;In het directiereglement is vastgesteld dat besluitvorming plaatsvindt in het Directieteam (DT). Dtbesluiten worden ‘impliciet geacht te zijn goedgekeurd door de bestuurder’, tenzij de bestuurder daarover expliciet een ander bestuursbesluit neemt.;Vormgeving;Beleidsuitspraak;;Org.best.;Vormgeving;De Key Amsterdam
De organisatie wil steeds meer loskomen van de top-down hiërarchie en gaat steeds meer functioneren als een ronde organisatie.;Class;Uitspraak;Proposed;De organisatie wil steeds meer loskomen van de top-down hiërarchie en gaat steeds meer functioneren als een ronde organisatie waarin medewerkers elkaar rechtstreeks weten te vinden in het belang van de klant of de toezichthouder;Vormgeving;Principe;;Org.best.;Vormgeving;De Key Amsterdam
Het is een organisatie waarin organisatiedoelen en -waarden worden gedeeld en het risicomanagement zo laag mogelijk in de organisatie is belegd.;Class;Uitspraak;Proposed;Het is een organisatie waarin organisatiedoelen en -waarden worden gedeeld en het risicomanagement zo laag mogelijk in de organisatie is belegd.;Vormgeving;Principe;;Org.best.;Vormgeving;De Key Amsterdam
Bij De Key beschikt een professionele medewerker.;Class;Uitspraak;Proposed;"Bij De Key beschikt een professionele medewerker over:
? voldoende kennis en kunde,
? het vermogen om effectief samen te werken,
? eigenaarschap en daadkracht in het werk.";Vormgeving;Principe;;Medew.;Vormgeving;De Key Amsterdam
De Key stuurt hierop door gewenst gedrag te bevorderen en de gelegenheid voor ongewenst gedrag te beperken.;Class;Uitspraak;Proposed;De Key stuurt hierop (integriteit) door gewenst gedrag te bevorderen (cultuur, waarden, vertrouwen e.d.) en de gelegenheid voor ongewenst gedrag te beperken (inrichting processen, toegankelijkheid data e.d.).;Vormgeving;Beleidsuitspraak;;Medew.;Vormgeving;De Key Amsterdam
De Key wordt bestuurd volgens het 5R-principe.;Class;Uitspraak;Proposed;De Key wordt bestuurd volgens het 5R-principe (Richting, Ruimte, Resultaat, Responsief, Rekenschap);Vormgeving;Principe;;Org.best.;Vormgeving;De Key Amsterdam
De beleidscyclus bij De Key is georganiseerd op basis van de beleidsachtbaan.;Class;Uitspraak;Proposed;De beleidscyclus bij De Key is georganiseerd op basis van de beleidsachtbaan;Vormgeving;Beleidsuitspraak;;Org.best.;Vormgeving;De Key Amsterdam
De bestuurder wordt benoemd voor vier jaar en kan telkens voor vier jaar worden herbenoemd.;Class;Uitspraak;Proposed;De bestuurder wordt benoemd voor vier jaar en kan telkens voor vier jaar worden herbenoemd.;Vormgeving;Principe;;Org.best.;Vormgeving;De Key Amsterdam
De bestuurder wordt geacht iets te willen op basis van bestuurlijke keuzes.;Class;Uitspraak;Proposed;De bestuurder wordt geacht iets te willen op basis van bestuurlijke keuzes en stelt daartoe de kaders op (en) De Raad van Commissarissen (RvT) wordt - vanuit het perspectief van good governance - geacht iets te vinden over wat de bestuurder wil.;Vormgeving;Principe;;Org.best.;Vormgeving;De Key Amsterdam
Van een bestuurder wordt verwacht dat diens bestuurlijke besluiten passen bij De Key.;Class;Uitspraak;Proposed;Van een bestuurder wordt verwacht dat diens bestuurlijke besluiten passen bij De Key, aansluiten bij maatschappelijke ontwikkelingen en de continuïteit van de organisatie borgen;Vormgeving;Principe;;Org.best.;Vormgeving;De Key Amsterdam
Van de RvT wordt verwacht dat zij met haar oordeel over de kwaliteit van de bestuurlijke besluiten de keuzes van de bestuurder legitimeert en versterkt.;Class;Uitspraak;Proposed;Van de RvT wordt verwacht dat zij met haar oordeel over de kwaliteit van de bestuurlijke besluiten de keuzes van de bestuurder legitimeert en versterkt.;Vormgeving;Principe;;Org.best.;Vormgeving;De Key Amsterdam
Van de directeuren wordt verwacht dat zij de bestuurlijke besluiten zichtbaar maken in het maatschappelijke en financiële rendement van De Key.;Class;Uitspraak;Proposed;Van de directeuren wordt verwacht dat zij de bestuurlijke besluiten zichtbaar maken in het maatschappelijke en financiële rendement van De Key.;Vormgeving;Principe;;Org.best.;Vormgeving;De Key Amsterdam
Van de managers wordt verwacht dat zij voorbeeldgedrag vertonen en de randvoorwaarden creëren voor optimaal functioneren en presteren.;Class;Uitspraak;Proposed;Van de managers wordt verwacht dat zij voorbeeldgedrag vertonen en de randvoorwaarden creëren voor optimaal functioneren en presteren;Vormgeving;Principe;;Org.best.;Vormgeving;De Key Amsterdam
Van de medewerkers wordt verwacht dat zij samen werken aan het realiseren van de maatschappelijke doelstellingen.;Class;Uitspraak;Proposed;Van de medewerkers wordt verwacht dat zij samen werken aan het realiseren van de maatschappelijke doelstellingen.;Vormgeving;Principe;;Org.best.;Vormgeving;De Key Amsterdam
De RvT gebruikt dit (toetsingsvelden) kader als een soort checklist bij het komen tot een oordeel over de bestuurder.;Class;Uitspraak;Proposed;De RvT gebruikt dit (toetsingsvelden) kader als een soort checklist bij het komen tot een oordeel over de bestuurder. (Zie checklist);Vormgeving;Beleidsuitspraak;;Org.best.;Vormgeving;De Key Amsterdam
