Name;Type;Stereotype;Status;Notes;TagValue_Type;TagValue_Toelichting
VRAAG1;Class;Enterprisevraagstuk;Proposed;"Vraagstuk: Versterken financiële functie De Key: Vanuit verschillende invalshoeken (zowel intern als extern zoals accountant en wetgeving) ligt de aandacht binnen De Key op het versterken van de financiële functie. Dit betreft zowel de financiële afdelingen als ook de overige bedrijfsonderdelen binnen De Key.
Het gaat hierbij o.a. om:
- Eigenaarschap data
- De kwaliteit van de basisgegevens (juist, volledig, controle) en (analyse) dossiervorming (ook v.w.b. de aan te leveren informatie van de verschillende bedrijfsonderdelen)
- Vervroegen (wettelijke) deadlines m.b.t. rapportages
- Scherper inrichten van de interne review binnen de financiële afdelingen
- Verdere detaillering op perceelniveau (zowel financieel als vastgoedinformatie)
- Homogene complexdefinities t.b.v. taxatiewaarde
- Verdere verbetering vastgoedsturing
- Maken van integrale afwegingen op allerlei gebied tussen de verschillende bedrijfsonderdelen

Om deze versterking te realiseren dienen maatregelen te worden getroffen die enerzijds binnen de financiële afdelingen moeten worden geïmplementeerd, maar anderzijds ook in breed overleg tussen alle bedrijfsonderdelen tot stand moeten komen.
";Beschrijving;
VRAAG2;Class;Enterprisevraagstuk;Proposed;Externe accountant: versterken financiele afdeling. Verbeteren van dossiers (position papers), cijferbeoordelingen, verbandcontroles (kennisniveau en samenwerking medewerkers). Direct kasstroomoverzicht: processen beter inregelen.;Aanleiding of Oorzaak;
VRAAG3;Class;Enterprisevraagstuk;Proposed;Externe accountant: versterken financiele functie. Afspraak = afspraak. Aanleveren documenten voor dossiers, en toelichtingen op documenten. Stamgegevens op orde.  ;Aanleiding of Oorzaak;
VRAAG4;Class;Enterprisevraagstuk;Proposed;Fiscaliteit: van financiele exploitatie op complexniveau naar perceel niveau: investeringskosten, exploitatielasten en -opbrengsten gesplitst naar perceel. Ook vastgoedinformatie o.b.v. perceelniveau.;Aanleiding of Oorzaak;
VRAAG5;Class;Enterprisevraagstuk;Proposed;Marktwaarde verhuurde staat en bedrijfswaarde: gebrek aan homogene complexdefinities t.b.v. taxatiewaarde. Verplichting vanuit de Woningwet.;Aanleiding of Oorzaak;
VRAAG6;Class;Enterprisevraagstuk;Proposed;Vastgoedsturing: noodzakelijke schakel in het doorlopen van de beleidsachtbaan. Hulpmiddel t.d.v. het op strategisch, tactisch en operationeel niveau uitvoeren van de portefeuillestrategie.;Aanleiding of Oorzaak;
VRAAG7;Class;Enterprisevraagstuk;Proposed;Geen integrale afweging tussen verschillende bedrijfsonderdelen / veranderende omgeving (woningwet): inzake besluitvorming op vele aspecten.;Aanleiding of Oorzaak;
VRAAG8;Class;Enterprisevraagstuk;Proposed;Eigenaarschap data: aanspreekbaarheid kwaliteit data is onduidelijk. En ook van het proces.;Aanleiding of Oorzaak;
VRAAG9;Class;Enterprisevraagstuk;Proposed;Externe accountant: versterken financiele functie. Moeite met halen deadlines. Vervroegen wettelijke deadlines.;Aanleiding of Oorzaak;
VRAAG10;Class;Enterprisevraagstuk;Proposed;2 Uiterlijk in 2017 wegwerken. Mate van in control basiswerkzaamheden (must have).;Urgentie;
